subject,block,trial,mu1,mu2,choice,reward,RT
1,32,3,-0.161,2.460,1,1.986,0.000
1,32,4,-0.161,2.460,1,2.446,0.000
1,32,5,-0.161,2.460,1,-1.913,0.000
1,32,6,-0.161,2.460,1,-3.443,0.000
1,32,7,-0.161,2.460,1,2.110,0.000
1,32,8,-0.161,2.460,1,0.434,0.000
1,32,9,-0.161,2.460,1,-1.373,0.000
1,32,10,-0.161,2.460,1,-1.080,0.000
1,33,1,-10.562,0.226,1,-9.588,0.000
1,33,2,-10.562,0.226,2,4.483,0.000
1,33,3,-10.562,0.226,2,3.227,0.000
1,33,4,-10.562,0.226,2,-2.637,0.000
1,33,5,-10.562,0.226,2,4.815,0.000
1,33,6,-10.562,0.226,2,-1.323,0.000
1,33,7,-10.562,0.226,2,-2.520,0.000
1,33,8,-10.562,0.226,2,-0.284,0.000
1,33,9,-10.562,0.226,2,-0.237,0.000
1,33,10,-10.562,0.226,2,5.565,0.000
1,34,1,-10.269,-2.774,1,-10.840,0.000
1,34,2,-10.269,-2.774,2,-3.841,0.000
1,34,3,-10.269,-2.774,2,-1.827,0.000
1,34,4,-10.269,-2.774,2,-5.486,0.000
1,34,5,-10.269,-2.774,2,-1.163,0.000
1,34,6,-10.269,-2.774,2,0.104,0.000
1,34,7,-10.269,-2.774,2,-3.691,0.000
1,34,8,-10.269,-2.774,2,-2.046,0.000
1,34,9,-10.269,-2.774,2,-2.247,0.000
1,34,10,-10.269,-2.774,2,1.237,0.000
1,35,1,7.307,-10.463,1,12.183,0.000
1,35,2,7.307,-10.463,1,7.863,0.000
1,35,3,7.307,-10.463,1,1.637,0.000
1,35,4,7.307,-10.463,1,10.470,0.000
1,35,5,7.307,-10.463,1,8.703,0.000
1,35,6,7.307,-10.463,1,9.120,0.000
1,35,7,7.307,-10.463,1,6.401,0.000
1,35,8,7.307,-10.463,1,5.859,0.000
1,35,9,7.307,-10.463,1,5.009,0.000
1,35,10,7.307,-10.463,1,2.764,0.000
1,36,1,-1.704,-13.090,1,-1.943,0.000
1,36,2,-1.704,-13.090,2,-12.794,0.000
1,36,3,-1.704,-13.090,1,-3.469,0.000
1,36,4,-1.704,-13.090,1,-9.448,0.000
1,36,5,-1.704,-13.090,1,-3.156,0.000
1,36,6,-1.704,-13.090,1,-1.676,0.000
1,36,7,-1.704,-13.090,1,3.272,0.000
1,36,8,-1.704,-13.090,1,-1.309,0.000
1,36,9,-1.704,-13.090,1,-2.859,0.000
1,36,10,-1.704,-13.090,1,-6.227,0.000
